product_id,name,description,brand,category,price,currency,stock,ean,color,size,availability,supplier_id
PROD-329,Gaming Mouse,High-precision gaming mouse,GameTech,Electronics,89.50,USD,70,7413698521982,RGB,Standard,In Stock,VEND-119
PROD-330,Throw Blanket,Soft microfiber throw blanket,CozyCottage,Home Textiles,24.99,USD,110,6321458796589,Gray,Standard,In Stock,VEND-120
PROD-331,Electric Kettle,Fast-boiling stainless steel electric kettle,KitchenElite,Kitchen,32.50,USD,95,5214789632789,Silver,1.7L,In Stock,VEND-121
PROD-332,Yoga Block,EVA foam yoga blocks set of 2,YogaEssentials,Fitness,18.99,USD,150,4125896374852,Blue,Standard,In Stock,VEND-122
PROD-333,Bluetooth Earbuds,Wireless Bluetooth earbuds with charging case,AudioPro,Electronics,85.00,USD,80,3698521478852,White,Standard,In Stock,VEND-123
PROD-334,Shower Curtain,Waterproof polyester shower curtain,BathStyles,Bath,12.50,USD,130,2587413698123,Blue,Standard,In Stock,VEND-124
PROD-335,Table Lamp,Modern ceramic table lamp,LightLux,Home Decor,45.99,USD,60,1478523698456,White,Medium,In Stock,VEND-125
PROD-336,Paper Towels,Pack of 8 kitchen paper towel rolls,CleanHome,Household,9.99,USD,250,9632587413852,White,Standard,In Stock,VEND-101
PROD-337,Fitness Tracker,Waterproof fitness tracker with heart rate monitor,FitTech,Electronics,65.75,USD,90,8521479632741,Black,Standard,In Stock,VEND-102
PROD-338,Plant Food,Indoor plant fertilizer concentrate,PlantLife,Garden,8.25,USD,180,7413698521895,N/A,500ml,In Stock,VEND-103
PROD-339,Hair Dryer,Professional 1800W hair dryer,BeautyPro,Personal Care,49.50,USD,75,6321458796963,Pink,Standard,In Stock,VEND-104
PROD-340,Mechanical Keyboard,Mechanical gaming keyboard with RGB lighting,KeyMaster,Electronics,129.99,USD,50,5214789632456,Black,Full size,In Stock,VEND-105
PROD-341,Dinner Plate Set,Set of 6 ceramic dinner plates,DiningElegance,Kitchen,39.75,USD,85,4125896374963,White,10 inch,In Stock,VEND-106
PROD-342,Beach Towel,Extra large microfiber beach towel,SummerFun,Beach,22.50,USD,120,3698521478963,Striped,Large,In Stock,VEND-107
PROD-343,Wall Shelf,Floating wall shelf set of 3,WallDecor,Home Decor,34.99,USD,65,2587413698456,Walnut,Mixed,In Stock,VEND-108
PROD-344,USB Cable,Braided USB-C charging cable 6ft,CablePro,Electronics,12.99,USD,200,1478523698789,Black,6ft,In Stock,VEND-109
PROD-345,Photo Frame,Wood picture frame set of 2,MemoryKeeper,Home Decor,18.50,USD,100,9632587413963,Brown,5x7 inch,In Stock,VEND-110
PROD-346,Wireless Charger,Fast wireless charging pad,ChargeTech,Electronics,29.95,USD,85,8521479632852,Black,Standard,In Stock,VEND-111
PROD-347,Tea Kettle,Stovetop whistling tea kettle,KitchenClassic,Kitchen,27.50,USD,70,7413698521789,Silver,2L,In Stock,VEND-112
PROD-348,Dish Soap,Eco-friendly dish washing liquid,CleanGreen,Household,4.99,USD,250,6321458796741,Green,750ml,In Stock,VEND-113
PROD-349,Laptop Stand,Adjustable aluminum laptop stand,DeskPro,Office Supplies,45.00,USD,60,5214789632123,Silver,Standard,In Stock,VEND-114
PROD-350,Moisturizer,Hydrating facial moisturizer,SkinCare,Beauty,18.75,USD,110,4125896374741,N/A,50ml,In Stock,VEND-115
