location_id,location_name,location_type,address,city,state,country,postal_code,latitude,longitude,floor_area_sqm,building_type,year_built,energy_rating,grid_connection_type,timezone,owner_id,manager_id,occupancy,operating_hours
LOC-1012,Hospital Complex,Healthcare,2000 Wellness Boulevard,Minneapolis,MN,USA,55401,44.9778,-93.2650,40000,Healthcare,2012,ENERGY STAR,Redundant Feeder,America/Chicago,ORG-110,EMP-212,1500,24/7
LOC-1013,Smart Grid Test Center,Testing Facility,455 Smart Drive,Boulder,CO,USA,80301,40.0150,-105.2705,7500,Research,2019,LEED Gold,Smart Grid,America/Denver,ORG-111,EMP-213,95,Monday-Friday 08:00-18:00
LOC-1014,Warehouse Distribution Center,Warehouse,800 Logistics Way,Atlanta,GA,USA,30301,33.7490,-84.3880,60000,Warehouse,2014,ENERGY STAR,Distribution Network,America/New_York,ORG-112,EMP-214,250,Monday-Saturday 06:00-22:00
LOC-1015,College Campus,Educational,1200 University Drive,Austin,TX,USA,78701,30.2672,-97.7431,85000,Campus,1980,LEED Silver,Campus Network,America/Chicago,ORG-113,EMP-215,12000,Monday-Sunday 06:00-23:00
LOC-1016,Shopping Mall,Retail,300 Retail Plaza,Los Angeles,CA,USA,90001,34.0522,-118.2437,70000,Retail,2001,ENERGY STAR,Distribution Network,America/Los_Angeles,ORG-114,EMP-216,5000,Monday-Sunday 10:00-21:00
LOC-1017,West Coast Office,Office Building,950 Pacific Avenue,Seattle,WA,USA,98101,47.6062,-122.3321,15000,Commercial,2017,LEED Silver,Distribution Network,America/Los_Angeles,ORG-101,EMP-217,450,Monday-Friday 08:00-18:00
LOC-1018,Desert Solar Array,Renewable Generation,Solar Field Road,Las Vegas,NV,USA,89101,36.1699,-115.1398,200000,Solar Farm,2020,N/A,High Voltage Transmission,America/Los_Angeles,ORG-102,EMP-218,12,24/7
LOC-1019,Urban Microgrid,Microgrid,75 Smart City Street,New York,NY,USA,10001,40.7128,-74.0060,25000,Mixed Use,2022,LEED Platinum,Islanded Microgrid,America/New_York,ORG-115,EMP-219,3000,24/7
LOC-1020,Airport Terminal,Transportation,Terminal 3,Miami,FL,USA,33126,25.7617,-80.1918,65000,Airport,2005,ENERGY STAR,Dedicated Feeder,America/New_York,ORG-116,EMP-220,25000,24/7
LOC-1021,Cold Storage Facility,Warehouse,400 Refrigeration Road,Omaha,NE,USA,68102,41.2565,-95.9345,25000,Cold Storage,2015,ENERGY STAR,Distribution Network,America/Chicago,ORG-117,EMP-221,75,24/7
LOC-1022,Convention Center,Events Venue,1 Convention Way,Las Vegas,NV,USA,89109,36.1699,-115.1398,120000,Public Venue,2010,LEED Silver,Dedicated Feeder,America/Los_Angeles,ORG-118,EMP-222,Variable,Variable
LOC-1023,Offshore Wind Farm,Renewable Generation,Atlantic Ocean,N/A,MA,USA,N/A,41.3544,-70.6950,N/A,Wind Farm,2021,N/A,Subsea Transmission,America/New_York,ORG-119,EMP-223,30,24/7
LOC-1024,Community Battery Storage,Energy Storage,25 Community Drive,San Diego,CA,USA,92101,32.7157,-117.1611,2500,Storage Facility,2023,N/A,Distribution Network,America/Los_Angeles,ORG-120,EMP-224,5,24/7
LOC-1025,Corporate Campus,Office Park,500 Business Park Circle,Raleigh,NC,USA,27601,35.7796,-78.6382,45000,Campus,2018,LEED Gold,Campus Network,America/New_York,ORG-121,EMP-225,2200,Monday-Friday 07:00-19:00
LOC-1026,Central District Heating,District Energy,250 Thermal Way,Philadelphia,PA,USA,19101,39.9526,-75.1652,3500,Utility,2008,N/A,Distribution Network,America/New_York,ORG-122,EMP-226,15,24/7
LOC-1027,Mountain Data Center,Data Center,100 Cloud Peak Drive,Salt Lake City,UT,USA,84101,40.7608,-111.8910,10000,Data Center,2019,ENERGY STAR,Redundant Feeder,America/Denver,ORG-123,EMP-227,40,24/7
LOC-1028,Island Microgrid,Microgrid,1 Island Circle,Honolulu,HI,USA,96801,21.3069,-157.8583,15000,Mixed Use,2021,LEED Gold,Islanded Microgrid,Pacific/Honolulu,ORG-124,EMP-228,500,24/7
LOC-1029,Rural Electric Cooperative,Utility Office,50 Cooperative Lane,Boise,ID,USA,83701,43.6150,-116.2023,5000,Utility,2000,ENERGY STAR,Distribution Hub,America/Boise,ORG-125,EMP-229,75,Monday-Friday 08:00-17:00
LOC-1030,Residential Tower,Residential,300 Luxury Avenue,Chicago,IL,USA,60601,41.8781,-87.6298,35000,Residential,2019,LEED Gold,Distribution Network,America/Chicago,ORG-126,EMP-230,800,24/7
LOC-1031,Food Processing Plant,Industrial,100 Processing Lane,St. Louis,MO,USA,63101,38.6270,-90.1994,30000,Food Processing,2012,ISO 50001,Primary Substation,America/Chicago,ORG-127,EMP-231,250,Monday-Friday 06:00-22:00
LOC-1032,Beach Resort,Hospitality,1 Oceanfront Drive,Miami Beach,FL,USA,33139,25.7907,-80.1300,50000,Hospitality,2014,ENERGY STAR,Distribution Network,America/New_York,ORG-128,EMP-232,350,24/7
LOC-1033,Waste-to-Energy Plant,Renewable Generation,200 Recycle Road,Baltimore,MD,USA,21201,39.2904,-76.6122,15000,Waste Processing,2016,N/A,Medium Voltage Distribution,America/New_York,ORG-129,EMP-233,60,24/7
LOC-1034,Sports Stadium,Events Venue,100 Championship Way,Kansas City,MO,USA,64101,39.0997,-94.5786,85000,Public Venue,2011,LEED Silver,Dedicated Feeder,America/Chicago,ORG-130,EMP-234,Variable,Variable
LOC-1035,Floating Solar Array,Renewable Generation,Lake Solar,San Jose,CA,USA,95101,37.3382,-121.8863,35000,Solar Farm,2022,N/A,Medium Voltage Distribution,America/Los_Angeles,ORG-131,EMP-235,10,24/7
LOC-1036,Government Complex,Government,1 Federal Plaza,Washington,DC,USA,20001,38.8951,-77.0364,75000,Government,2005,ENERGY STAR,Redundant Feeder,America/New_York,ORG-132,EMP-236,3000,Monday-Friday 07:00-19:00
LOC-1037,Transit Hub,Transportation,Central Station,Chicago,IL,USA,60601,41.8781,-87.6298,45000,Transportation,2013,LEED Silver,Dedicated Feeder,America/Chicago,ORG-133,EMP-237,15000,24/7
LOC-1038,Semiconductor Fab,Industrial,500 Chip Way,Portland,OR,USA,97201,45.5051,-122.6750,40000,Manufacturing,2015,ISO 50001,Redundant Feeder,America/Los_Angeles,ORG-134,EMP-238,500,24/7
LOC-1039,Geothermal Plant,Renewable Generation,Thermal Springs Road,Reno,NV,USA,89501,39.5296,-119.8138,7500,Geothermal Plant,2010,N/A,High Voltage Transmission,America/Los_Angeles,ORG-135,EMP-239,35,24/7
LOC-1040,Urban Farming Center,Agricultural,50 Vertical Farm Street,Brooklyn,NY,USA,11201,40.6782,-73.9442,15000,Agricultural,2020,LEED Platinum,Distribution Network,America/New_York,ORG-136,EMP-240,125,Monday-Saturday 06:00-20:00
LOC-1041,Rural Telecom Hub,Telecommunications,25 Signal Lane,Tulsa,OK,USA,74101,36.1540,-95.9928,3500,Telecommunications,2017,ENERGY STAR,Dedicated Feeder,America/Chicago,ORG-137,EMP-241,30,24/7
LOC-1042,Hydrogen Production Facility,Energy Production,100 Hydrogen Way,Houston,TX,USA,77001,29.7604,-95.3698,12000,Industrial,2022,N/A,Primary Substation,America/Chicago,ORG-138,EMP-242,75,24/7
LOC-1043,Coastal Desalination Plant,Utility,10 Freshwater Drive,San Diego,CA,USA,92101,32.7157,-117.1611,8000,Water Treatment,2018,LEED Silver,Dedicated Feeder,America/Los_Angeles,ORG-139,EMP-243,60,24/7
LOC-1044,Mountain Resort,Hospitality,1 Ski Resort Lane,Aspen,CO,USA,81611,39.1911,-106.8175,65000,Hospitality,2009,ENERGY STAR,Distribution Network,America/Denver,ORG-140,EMP-244,Variable,Seasonal
LOC-1045,Brewery Facility,Industrial,200 Brew Lane,Milwaukee,WI,USA,53201,43.0389,-87.9065,25000,Food Processing,2014,ISO 50001,Distribution Network,America/Chicago,ORG-141,EMP-245,200,Monday-Saturday 06:00-22:00
LOC-1046,High School Campus,Educational,500 Education Drive,Columbus,OH,USA,43201,39.9612,-82.9988,30000,Educational,2016,ENERGY STAR,Distribution Network,America/New_York,ORG-142,EMP-246,1500,Monday-Friday 07:00-21:00
LOC-1047,Vehicle Assembly Plant,Industrial,1000 Assembly Line Road,Detroit,MI,USA,48201,42.3314,-83.0458,120000,Manufacturing,2003,ISO 50001,Primary Substation,America/Detroit,ORG-143,EMP-247,3000,24/7
LOC-1048,Battery Gigafactory,Manufacturing,Gigafactory Drive,Reno,NV,USA,89501,39.5296,-119.8138,150000,Manufacturing,2019,LEED Gold,Dedicated Feeder,America/Los_Angeles,ORG-144,EMP-248,5000,24/7
LOC-1049,Corporate Headquarters,Office Building,1 Corporate Plaza,New York,NY,USA,10001,40.7128,-74.0060,50000,Commercial,2010,LEED Platinum,Dedicated Feeder,America/New_York,ORG-145,EMP-249,2500,Monday-Friday 07:00-20:00
LOC-1050,Smart Neighborhood,Residential,Connected Living Street,Nashville,TN,USA,37201,36.1627,-86.7816,75000,Residential,2021,LEED Neighborhood,Smart Grid,America/Chicago,ORG-146,EMP-250,1200,24/7
